"Zeitstempel,""To which of the following groups do you belong?"",""How many years of experience do you have with Java?"",""What type of programming experience do you have?"",""Have you ever annotated features in any project before?"",""If yes, which tool did you use to do it? "",""To which extent would you agree with the following statements? [Creating annotations using the LSP was faster than without]"",""To which extent would you agree with the following statements? [Creating code annotations using the LSP was easier than without]"",""To which extent would you agree with the following statements? [The code completion for creating annotation is useful to me]"",""To which extent would you agree with the following statements? [it was easy to create .feature-to-file mappings]"",""To which extent would you agree with the following statements? [it was easy to create .feature-to-folder mappings]"",""To which extent do you agree with the following statements regarding the time required to complete tasks using HAnS-LSP?  [check if the feature is defined in the .feature-model file ]"",""To which extent do you agree with the following statements regarding the time required to complete tasks using HAnS-LSP?  [locating annotation of a feature in the code]"",""To which extent do you agree with the following statements regarding the time required to complete tasks using HAnS-LSP?  [locating feature in .feature-to-file]"",""To which extent do you agree with the following statements regarding the time required to complete tasks using HAnS-LSP?  [it was easy to browse .feature-to-folder mappings]"",""To which extent do you agree with the following statements regarding HAnS-LSP? [I think that I would like to use HAnS-LSP frequently.]"",""To which extent do you agree with the following statements regarding HAnS-LSP? [I found the system unnecessarily complex.]"",""To which extent do you agree with the following statements regarding HAnS-LSP? [I thought HAnS-LSP was easy to use.]"",""To which extent do you agree with the following statements regarding HAnS-LSP? [I think that I would need the support of a technical person to be able to use this system.]"",""To which extent do you agree with the following statements regarding HAnS-LSP? [I found the various functions in this system were well integrated.]"",""To which extent do you agree with the following statements regarding HAnS-LSP? [I thought there was too much inconsistency in this system.]"",""To which extent do you agree with the following statements regarding HAnS-LSP? [I would imagine that most people would learn to use this system very quickly.]"",""To which extent do you agree with the following statements regarding HAnS-LSP? [I found the system very cumbersome to use.]"",""To which extent do you agree with the following statements regarding HAnS-LSP? [I felt very confident using the system.]"",""To which extent do you agree with the following statements regarding HAnS-LSP? [I needed to learn a lot of things before I could get going with this system.]"",""What about the plugin would keep you from using it?"",""What about the plugin do you like?"",""What were the biggest challenges you have faced while using HAnS-LSP?"",""What additional features do you think would enhance the usability of LSP-HAnS? "","""","""","""",""""";;;;;;;;;;;
"2024/12/01 2:05:13 PM MEZ,""1st group: I did the set of  exercises using HAnS-LSP for the """"first"""" 3 exercises"",""1 - 2 years"",""Educational"",""no"",""No"",""Strongly Agree"",""Strongly Agree"",""Strongly Agree"",""Strongly Agree"",""Strongly Agree"",""Strongly Agree"",""Agree"",""Strongly Agree"",""Strongly Agree"",""Strongly Agree"",""Disagree"",""Strongly Agree"",""Disagree"",""Strongly Agree"",""Strongly disagree"",""Strongly Agree"",""Strongly disagree"",""Agree"",""Disagree"",""Nothing"",""The hover feature."",""Setting up the tool."",""Nothing to add"","""",""Much easier and faster than without"",""4"",""Very useful and easy to use.""";;;;;;;;;;;
"2024/12/01 2:05:25 PM MEZ,""1st group: I did the set of  exercises using HAnS-LSP for the """"first"""" 3 exercises"",""2 - 3 years"",""Educational"",""no"",""No"",""Strongly Agree"",""Strongly Agree"",""Agree"",""Agree"",""Agree"",""Strongly Agree"",""Strongly Agree"",""Agree"",""Strongly Agree"",""Agree"",""Strongly disagree"",""Agree"",""Agree"",""Agree"",""Neither agree or disagree"",""Strongly Agree"",""Disagree"",""Agree"",""Disagree"",""setting up for the tool"",""finding features "",""I have not faced big challenges while using this tool"",""nothing to add "",""no"",""  "",""4"",""I think it is a helpful tool """;;;;;;;;;;;
"2024/12/01 2:20:12 PM MEZ,""2nd group: I did the set of exercises using HAnS-LSP for the """"last"""" 3 exercises"",""1 - 2 years"",""Educational"",""no"",""No"",""Agree"",""Agree"",""Strongly Agree"",""Strongly Agree"",""Strongly Agree"",""Strongly Agree"",""Neither agree or disagree"",""Neither agree or disagree"",""Neither agree or disagree"",""Strongly Agree"",""Disagree"",""Strongly Agree"",""Disagree"",""Strongly Agree"",""Strongly disagree"",""Agree"",""Strongly disagree"",""Agree"",""Neither agree or disagree"",""when coding something simple I do not need to annotate the features, and when I have to save the file after each change"",""I like how it makes the code features easier to find while editing a feature and updating it. I think it makes the debugging also easier. In general it gives a great structure to the code."",""forgeting to save the files"",""another color for the feature annotation so it is differntiable from the comments"","""",""it was easy to check it the feature is defined"",""3"",""it makes the code annotations easy and fast so I can find the related code features quickly.""";;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;System Usability Scale;;;;;;
;;;;;Question;1.answer;2.answer;3.answer;;;
;;;;;1;4;3;4;;Participant;SUS answers
;;;;;2;3;4;3;;1.;"""Strongly Agree"",""Disagree"",""Strongly Agree"",""Disagree"",""Strongly Agree"",""Strongly disagree"",""Strongly Agree"",""Strongly disagree"",""Agree"",""Disagree"""
;;;;;3;4;3;4;;2.;"""Agree"",""Strongly disagree"",""Agree"",""Agree"",""Agree"",""Neither agree or disagree"",""Strongly Agree"",""Disagree"",""Agree"",""Disagree"""
;;;;;4;3;1;3;;3.;"""Strongly Agree"",""Disagree"",""Strongly Agree"",""Disagree"",""Strongly Agree"",""Strongly disagree"",""Agree"",""Strongly disagree"",""Agree"",""Neither agree or disagree"""
;;;;;5;4;3;4;;;
;;;;;6;4;2;4;;;
;;;;;7;4;4;3;;;
;;;;;8;4;3;4;;;
;;;;;9;3;3;3;;;
;;;;;10;3;3;2;;;
;;;;;sum;36;29;34;;;
;;;;;SUS ;90;72,5;85;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;average:;82,5;;;;;
