"Zeitstempel,""To which of the following groups do you belong?"",""How many years of experience do you have with Java?"",""What type of programming experience do you have?"",""Have you ever annotated features in any project before?"",""If yes, which tool did you use to do it? "",""To which extent would you agree with the following statements? [Creating annotations using the LSP was faster than without]"",""To which extent would you agree with the following statements? [Creating code annotations using the LSP was easier than without]"",""To which extent would you agree with the following statements? [The code completion for creating annotation is useful to me]"",""To which extent would you agree with the following statements? [it was easy to create .feature-to-file mappings]"",""To which extent would you agree with the following statements? [it was easy to create .feature-to-folder mappings]"",""To which extent do you agree with the following statements regarding the time required to complete tasks using HAnS-LSP?  [check if the feature is defined in the .feature-model file was faster using the LSP]"",""To which extent do you agree with the following statements regarding the time required to complete tasks using HAnS-LSP?  [it was faster to locating annotation of a feature in the code]"",""To which extent do you agree with the following statements regarding the time required to complete tasks using HAnS-LSP?  [using the LSP it was faster to locating feature in .feature-to-file]"",""To which extent do you agree with the following statements regarding the time required to complete tasks using HAnS-LSP?  [it was easy to browse .feature-to-folder mappings]"",""To which extent do you agree with the following statements regarding HAnS-LSP? [I think that I would like to use HAnS-LSP frequently.]"",""To which extent do you agree with the following statements regarding HAnS-LSP? [I found the system unnecessarily complex.]"",""To which extent do you agree with the following statements regarding HAnS-LSP? [I thought HAnS-LSP was easy to use.]"",""To which extent do you agree with the following statements regarding HAnS-LSP? [I think that I would need the support of a technical person to be able to use this system.]"",""To which extent do you agree with the following statements regarding HAnS-LSP? [I found the various functions in this system were well integrated.]"",""To which extent do you agree with the following statements regarding HAnS-LSP? [I thought there was too much inconsistency in this system.]"",""To which extent do you agree with the following statements regarding HAnS-LSP? [I would imagine that most people would learn to use this system very quickly.]"",""To which extent do you agree with the following statements regarding HAnS-LSP? [I found the system very cumbersome to use.]"",""To which extent do you agree with the following statements regarding HAnS-LSP? [I felt very confident using the system.]"",""To which extent do you agree with the following statements regarding HAnS-LSP? [I needed to learn a lot of things before I could get going with this system.]"",""What about the plugin would keep you from using it?"",""What about the plugin do you like?"",""What were the biggest challenges you have faced while using HAnS-LSP?"",""What additional features do you think would enhance the usability of LSP-HAnS? """;;;;;;;;
"2024/12/21 5:41:06 PM MEZ,""2nd group:  I used HAnS-LSP for  tasks 4-6 and plain Visual Studio Code for the rest"",""1 - 2 years"",""Educational"",""no"","""",""Agree"",""Neither agree or disagree"",""Strongly Agree"",""Agree"",""Agree"",""Strongly Agree"",""Strongly Agree"",""Strongly Agree"",""Strongly Agree"",""Agree"",""Strongly disagree"",""Neither agree or disagree"",""Agree"",""Agree"",""Disagree"",""Strongly Agree"",""Disagree"",""Agree"",""Strongly disagree"",""nothing"",""ease of use"",""locating in-line annotations between comments"",""Texthighlighting""";;;;;;;;
"2024/12/22 5:12:00 PM MEZ,""1st group: I used HAnS-LSP for  tasks 1-3 and plain Visual Studio Code for the rest"",""more than 5 years"",""Educational"",""no"","""",""Neither agree or disagree"",""Neither agree or disagree"",""Agree"",""Strongly Agree"",""Strongly Agree"",""Strongly Agree"",""Strongly Agree"",""Strongly Agree"",""Strongly Agree"",""Strongly Agree"",""Agree"",""Agree"",""Disagree"",""Neither agree or disagree"",""Agree"",""Agree"",""Strongly disagree"",""Agree"",""Disagree"",""It would create too much overhead for most small-scale projects, which is mostly what I am doing"",""It removes the necessity of browsing files to understand where to find a given feature"",""Trying to understand the project at a first glance without any prior knowledge of it did not avoid manually browsing through many files"",""Some sort of error detection, e. g. a feature being defined in code but not in the model will not be shown as """"missing""""""";;;;;;;;
"2024/12/22 10:10:10 PM MEZ,""1st group: I used HAnS-LSP for  tasks 1-3 and plain Visual Studio Code for the rest"",""1 - 2 years"",""Educational"",""no"","""",""Agree"",""Strongly Agree"",""Neither agree or disagree"",""Disagree"",""Disagree"",""Neither agree or disagree"",""Agree"",""Agree"",""Agree"",""Neither agree or disagree"",""Agree"",""Agree"",""Agree"",""Strongly Agree"",""Disagree"",""Neither agree or disagree"",""Neither agree or disagree"",""Neither agree or disagree"",""Agree"",""Nothing"",""it allows to simplify the workflow"",""familiarising yourself with the topic was a bit tricky (for people who have not worked with it before or only to a very limited extent)"",""Syntax highlighting would be good for the annotations""";;;;;;;;
"2024/12/24 1:10:58 PM MEZ,""1st group: I used HAnS-LSP for  tasks 1-3 and plain Visual Studio Code for the rest"",""1 - 2 years"",""Educational"",""no"","""",""Strongly Agree"",""Agree"",""Strongly Agree"",""Strongly Agree"",""Strongly Agree"",""Strongly Agree"",""Strongly Agree"",""Strongly Agree"",""Strongly Agree"",""Agree"",""Disagree"",""Strongly Agree"",""Strongly disagree"",""Strongly Agree"",""Strongly disagree"",""Strongly Agree"",""Strongly disagree"",""Agree"",""Disagree"",""Nothing"",""The """"Find All References"""" feature"",""Just the installation"",""Nothing comes to mind""";;;;;;;;
"2024/12/24 1:15:52 PM MEZ,""1st group: I used HAnS-LSP for  tasks 1-3 and plain Visual Studio Code for the rest"",""1 - 2 years"",""Educational"",""no"","""",""Strongly Agree"",""Strongly Agree"",""Agree"",""Agree"",""Agree"",""Strongly Agree"",""Strongly Agree"",""Strongly Agree"",""Strongly Agree"",""Strongly Agree"",""Disagree"",""Agree"",""Neither agree or disagree"",""Strongly Agree"",""Strongly disagree"",""Agree"",""Disagree"",""Agree"",""Disagree"",""Nothing"",""I like how it makes your code well structured in an easy way, very helpful to edit the code without messing it"",""Understanding the functionality of the tool at first but when you get it it becomes easy"",""Nothing, it seems perfect to me""";;;;;;;;
"2024/12/24 1:17:00 PM MEZ,""1st group: I used HAnS-LSP for  tasks 1-3 and plain Visual Studio Code for the rest"",""3 - 4 years"",""Educational"",""no"","""",""Strongly Agree"",""Agree"",""Agree"",""Strongly Agree"",""Agree"",""Agree"",""Agree"",""Agree"",""Strongly Agree"",""Strongly Agree"",""Disagree"",""Agree"",""Neither agree or disagree"",""Agree"",""Strongly disagree"",""Strongly Agree"",""Strongly disagree"",""Agree"",""Strongly disagree"",""nothing"",""easy to use, time consuming when editing the code "",""no big challenges"",""maybe instead of pressing ctr+space using one key to press like mouse leftclick or hovering over the word and maybe without pressing any key""";;;;;;;;
"2024/12/26 5:11:36 PM MEZ,""2nd group:  I used HAnS-LSP for  tasks 4-6 and plain Visual Studio Code for the rest"",""more than 5 years"",""Educational"",""no"","""",""Agree"",""Agree"",""Strongly Agree"",""Agree"",""Strongly Agree"",""Strongly Agree"",""Agree"",""Agree"",""Agree"",""Agree"",""Disagree"",""Agree"",""Neither agree or disagree"",""Strongly Agree"",""Disagree"",""Agree"",""Strongly disagree"",""Strongly Agree"",""Neither agree or disagree"",""nothing"",""finding refrences to features in files wo easy"",""locating annotations in between comments"",""syntax highlighting and highlighting feature annotaions with features that are not defined in the feature model or writen wrong""";;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;System Usability Scale;;;;;;;
;Question;1.answer;2.answer;3.answer;4.answer;5.answer;6.answer;7.answer
;1;;;;;;;
;2;;;;;;;
;3;;;;;;;
;4;;;;;;;
;5;;;;;;;
;6;;;;;;;
;7;;;;;;;
;8;;;;;;;
;9;;;;;;;
;10;;;;;;;
;sum;0;0;0;0;0;0;0
;SUS ;0;0;0;0;0;0;0
;;;;;;;;
;;;;;;;;
;average:;0;;;;;;
